type,language,license,rightsHolder,accessRights,datasetID,datasetName,basisOfRecord,occurrenceID,recordedBy,individualCount,occurrenceStatus,occurrenceRemarks,eventID,eventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,sex,lifeStage,locationID,locality,continent,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,identifiedBy,identificationVerificationStatus,scientificName,kingdom,taxonRank,nomenclaturalCode
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/daf62d,"Invasive species - American bullfrog (Lithobates catesbeianus) in Flanders, Belgium (post 2018)",HumanObservation,36012075-24e2-4bb2-8664-b23cf3278d49,Natuurpunt,160,present,target species,28-05-2019_arendonk2,2019-05-28,freshwater; stagnant,"catch, fike",5,fyke,unknown,larvae no legs,fbb3baeb-c846-444c-926e-02445e328b78,arendonk 2,Europe,BE,51.32681,5.11082,WGS84,707.1067811865476,Natuurpunt,validated,Lithobates catesbeianus,Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/daf62d,"Invasive species - American bullfrog (Lithobates catesbeianus) in Flanders, Belgium (post 2018)",HumanObservation,2519381d-343f-434f-9ca9-a003cdc001ef,Natuurpunt,7,present,target species,28-05-2019_arendonk2,2019-05-28,freshwater; stagnant,"catch, fike",5,fyke,unknown,larvae with hind legs < 1cm,fbb3baeb-c846-444c-926e-02445e328b78,arendonk 2,Europe,BE,51.32681,5.11082,WGS84,707.1067811865476,Natuurpunt,validated,Lithobates catesbeianus,Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/daf62d,"Invasive species - American bullfrog (Lithobates catesbeianus) in Flanders, Belgium (post 2018)",HumanObservation,3d88238b-1cf7-49c9-a5ce-ae37c1f80b44,Natuurpunt,6,present,target species,28-05-2019_arendonk2,2019-05-28,freshwater; stagnant,"catch, fike",5,fyke,unknown,larvae with hind legs > 1cm,fbb3baeb-c846-444c-926e-02445e328b78,arendonk 2,Europe,BE,51.32681,5.11082,WGS84,707.1067811865476,Natuurpunt,validated,Lithobates catesbeianus,Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/daf62d,"Invasive species - American bullfrog (Lithobates catesbeianus) in Flanders, Belgium (post 2018)",HumanObservation,12d6cbd8-8463-4457-abad-650c0d0b18e7,Natuurpunt,4,present,target species,08-05-2019_nijlenb10,2019-05-08,freshwater; stagnant,"catch, fike",3,fyke,unknown,smallest larvae < 5cm no legs,554e3c11-e529-4b0b-a162-714c72d3547e,nijlen b10,Europe,BE,51.13312,4.60129,WGS84,707.1067811865476,Natuurpunt,validated,Lithobates catesbeianus,Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/daf62d,"Invasive species - American bullfrog (Lithobates catesbeianus) in Flanders, Belgium (post 2018)",HumanObservation,175feb96-d685-4088-aa53-00b69f1f83d7,Natuurpunt,23,present,target species,08-05-2019_nijlenb10,2019-05-08,freshwater; stagnant,"catch, fike",3,fyke,unknown,larvae no legs,554e3c11-e529-4b0b-a162-714c72d3547e,nijlen b10,Europe,BE,51.13312,4.60129,WGS84,707.1067811865476,Natuurpunt,validated,Lithobates catesbeianus,Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/daf62d,"Invasive species - American bullfrog (Lithobates catesbeianus) in Flanders, Belgium (post 2018)",HumanObservation,5a6365c9-2b11-4d68-bffe-f9d945b4e4bb,Natuurpunt,6,present,target species,08-05-2019_nijlenb10,2019-05-08,freshwater; stagnant,"catch, fike",3,fyke,unknown,larvae with hind legs < 1cm,554e3c11-e529-4b0b-a162-714c72d3547e,nijlen b10,Europe,BE,51.13312,4.60129,WGS84,707.1067811865476,Natuurpunt,validated,Lithobates catesbeianus,Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/daf62d,"Invasive species - American bullfrog (Lithobates catesbeianus) in Flanders, Belgium (post 2018)",HumanObservation,c4d6c119-6f99-4ea3-a9e5-d832f1e391cf,Natuurpunt,9,present,target species,08-05-2019_nijlenb10,2019-05-08,freshwater; stagnant,"catch, fike",3,fyke,unknown,larvae with hind legs > 1cm,554e3c11-e529-4b0b-a162-714c72d3547e,nijlen b10,Europe,BE,51.13312,4.60129,WGS84,707.1067811865476,Natuurpunt,validated,Lithobates catesbeianus,Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/daf62d,"Invasive species - American bullfrog (Lithobates catesbeianus) in Flanders, Belgium (post 2018)",HumanObservation,ce3a6e31-5627-435f-9296-0b9229568ac0,Natuurpunt,1,present,target species,08-05-2019_nijlenb10,2019-05-08,freshwater; stagnant,"catch, fike",3,fyke,unknown,metamorph with tail,554e3c11-e529-4b0b-a162-714c72d3547e,nijlen b10,Europe,BE,51.13312,4.60129,WGS84,707.1067811865476,Natuurpunt,validated,Lithobates catesbeianus,Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/daf62d,"Invasive species - American bullfrog (Lithobates catesbeianus) in Flanders, Belgium (post 2018)",HumanObservation,5267e4c3-3872-4c25-9be2-2e25bfc5d201,Natuurpunt,2,present,target species,08-05-2019_nijlenb10,2019-05-08,freshwater; stagnant,"catch, fike",3,fyke,female,adult,554e3c11-e529-4b0b-a162-714c72d3547e,nijlen b10,Europe,BE,51.13312,4.60129,WGS84,707.1067811865476,Natuurpunt,validated,Lithobates catesbeianus,Animalia,species,ICZN
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/daf62d,"Invasive species - American bullfrog (Lithobates catesbeianus) in Flanders, Belgium (post 2018)",HumanObservation,6f497601-27fb-4477-8af6-8470e3949c49,Natuurpunt,8,present,target species,08-05-2019_nijlenb10,2019-05-08,freshwater; stagnant,"catch, fike",3,fyke,unknown,smallest larvae < 5cm no legs,554e3c11-e529-4b0b-a162-714c72d3547e,nijlen b10,Europe,BE,51.13312,4.60129,WGS84,707.1067811865476,Natuurpunt,validated,Lithobates catesbeianus,Animalia,species,ICZN
