Tijdstempel,Invuller 2,Datum,Jaar,Locatie,actie,fuiklengte,Net verhoogd?,lat,long,Type,locationID,Organisation,eventID,no_fuiken,fuikNr,L0,L1,L00,L2,Opmerkingen,AV,AM,M1,M2,Hoek,fuiktype,larven_fuik,totaal_fuik,correctie_factor,larven_corrected,totaal_fuik_corrected
2016-05-10T20:50:24Z,kris meeus,2016-04-27,2016,arendonk 2,Afvangst,NA,NA,51.326407,5.10731,Stilstaand,fbb3baeb-c846-444c-926e-02445e328b78,Natuurwerk,27-4-2016_arendonk 2,0,Fuik 1,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,142,142,1,142,142
2016-05-10T20:50:24Z,kris meeus,2016-04-27,2016,arendonk 2,Afvangst,NA,NA,51.326407,5.10731,Stilstaand,fbb3baeb-c846-444c-926e-02445e328b78,Natuurwerk,27-4-2016_arendonk 2,0,Fuik 2,152,3,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,155,155,1,155,155
2016-05-11T22:45:28Z,kris meeus,2016-05-11,2016,arendonk 1,Afvangst,NA,NA,51.326366,5.101613,Stilstaand,91a8e2bb-b682-4c53-b213-7494198b12ce,Natuurwerk,11-5-2016_arendonk 1,0,Fuik 1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,7,7,1,7,7
2016-05-11T22:50:30Z,kris meeus,2016-05-11,2016,arendonk 2,Afvangst,NA,NA,51.326407,5.10731,Stilstaand,fbb3baeb-c846-444c-926e-02445e328b78,Natuurwerk,11-5-2016_arendonk 2,0,Fuik 1,79,1,38,1,NA,NA,NA,NA,NA,NA,NA NA,81,119,1,81,119
2016-05-11T22:50:30Z,kris meeus,2016-05-11,2016,arendonk 2,Afvangst,NA,NA,51.326407,5.10731,Stilstaand,fbb3baeb-c846-444c-926e-02445e328b78,Natuurwerk,11-5-2016_arendonk 2,0,Fuik 2,157,2,18,1,NA,NA,NA,NA,NA,NA,NA NA,160,178,1,160,178
2016-05-11T22:50:30Z,kris meeus,2016-05-11,2016,arendonk 2,Afvangst,NA,NA,51.326407,5.10731,Stilstaand,fbb3baeb-c846-444c-926e-02445e328b78,Natuurwerk,11-5-2016_arendonk 2,0,Fuik 3,187,4,36,3,NA,NA,NA,NA,NA,NA,NA NA,194,230,1,194,230
2016-05-14T12:48:21Z,kris meeus,2016-05-11,2016,kasterlee 13,Afvangst,NA,NA,51.267391,5.01562,Stilstaand,db13750e-281b-4b47-80e5-e4036050d1c1,Natuurwerk,11-5-2016_kasterlee 13,0,Fuik 1,NA,NA,NA,NA,1 groene kikker,NA,NA,NA,NA,NA,NA NA,0,0,1,0,0
2016-05-14T12:55:16Z,kris meeus,2016-05-11,2016,kasterlee 7,Afvangst,NA,NA,51.269378,5.015674,Stilstaand,d47894eb-3a0b-4dc1-8804-627d397aa280,Natuurwerk,11-5-2016_kasterlee 7,0,Fuik 2,NA,NA,NA,NA,1 geel gerande watertor,NA,NA,NA,NA,NA,NA NA,0,0,1,0,0
2016-05-14T12:12:05Z,kris meeus,2016-05-12,2016,arendonk 1,Afvangst,NA,NA,51.326366,5.101613,Stilstaand,91a8e2bb-b682-4c53-b213-7494198b12ce,Natuurwerk,12-5-2016_arendonk 1,0,Fuik 1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,32,32,1,32,32
2016-05-14T12:04:04Z,kris meeus,2016-05-12,2016,arendonk 2,Afvangst,NA,NA,51.326407,5.10731,Stilstaand,fbb3baeb-c846-444c-926e-02445e328b78,Natuurwerk,12-5-2016_arendonk 2,0,Fuik 1,145,3,23,NA,NA,NA,NA,NA,NA,NA,NA NA,148,171,1,148,171
2016-05-14T12:04:04Z,kris meeus,2016-05-12,2016,arendonk 2,Afvangst,NA,NA,51.326407,5.10731,Stilstaand,fbb3baeb-c846-444c-926e-02445e328b78,Natuurwerk,12-5-2016_arendonk 2,0,Fuik 2,21,NA,3,NA,NA,NA,NA,NA,NA,NA,NA NA,21,24,1,21,24
2016-05-14T12:04:04Z,kris meeus,2016-05-12,2016,arendonk 2,Afvangst,NA,NA,51.326407,5.10731,Stilstaand,fbb3baeb-c846-444c-926e-02445e328b78,Natuurwerk,12-5-2016_arendonk 2,0,Fuik 3,72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,73,73,1,73,73
2016-05-14T12:04:04Z,kris meeus,2016-05-12,2016,arendonk 2,Afvangst,NA,NA,51.326407,5.10731,Stilstaand,fbb3baeb-c846-444c-926e-02445e328b78,Natuurwerk,12-5-2016_arendonk 2,0,Fuik 4,31,NA,3,1,NA,NA,NA,NA,NA,NA,NA NA,32,35,1,32,35
2016-05-14T12:56:54Z,kris meeus,2016-05-12,2016,kasterlee 12,Afvangst,NA,NA,51.268317,5.016875,Stilstaand,a1afa4c1-fb1a-4717-909f-9fed2eefb9fa,Natuurwerk,12-5-2016_kasterlee 12,0,Fuik 1,NA,NA,NA,NA,6 palingen van 1 meter,NA,NA,NA,NA,NA,NA NA,0,0,1,0,0
2016-05-14T13:02:53Z,kris meeus,2016-05-12,2016,kasterlee 14,Afvangst,NA,NA,51.272036,5.016092,Stilstaand,31afab53-0d30-4026-af4d-e94dcecd79c4,Natuurwerk,12-5-2016_kasterlee 14,0,Fuik 1,NA,NA,NA,NA,5 geelgerande watertor,NA,NA,NA,NA,NA,NA NA,0,0,1,0,0
