Tijdstempel,Invuller 2,Datum,Jaar,Locatie,actie,fuiklengte,Net verhoogd?,lat_vijver,long_vijver,lat_grid,long_grid,Type,locationID,Organisation,eventID,no_fuiken,fuikNr,Opmerkingen,L1,L0,L2,M2,AV,AM,L00,M1,Hoek,fuiktype,larven_fuik,juveniel_fuik,adult_fuik,totaal_fuik,correctie_factor,larven_corrected,juveniel_corrected,adult_corrected,totaal_fuik_corrected,MX,AX,LX
2021-06-01T16:38:20Z,Rik Van Noten,2021-06-01,2021,griesbroek 6,Afvangst,20m,TRUE,51.144542,5.129246,51.14750351785501,5.129866885138804,Stilstaand,03dc3f07-506f-4c71-bbcd-ad24c177cab5,Natuurwerk,01-06-2021_griesbroek 6,8,Fuik 1,NA,14,40,6,NA,NA,1,NA,NA,45°,dubbele fuik,60,0,1,61,1,60,0,1,61,NA,NA,NA
2021-06-01T16:38:20Z,Rik Van Noten,2021-06-01,2021,griesbroek 6,Afvangst,20m,TRUE,51.144542,5.129246,51.14750351785501,5.129866885138804,Stilstaand,03dc3f07-506f-4c71-bbcd-ad24c177cab5,Natuurwerk,01-06-2021_griesbroek 6,8,Fuik 2,NA,1,3,NA,NA,NA,NA,NA,NA,45°,dubbele fuik,4,0,0,61,1,4,0,0,61,NA,NA,NA
2021-06-02T10:05:37Z,Kris Meeus,2021-06-01,2021,laakdal 41,Afvangst,13m,TRUE,51.076638,4.966807,51.07744607607217,4.965574662804474,Stilstaand,3FF122FA-A234-4A59-B023-BF7A15813990,Natuurwerk,01-06-2021_laakdal 41,3,Fuik 1,NA,9,99,4,NA,NA,1,2,NA,45°,dubbele fuik,114,0,1,115,1,114,0,1,115,NA,NA,NA
2021-06-02T08:40:22Z,Kris Meeus,2021-06-01,2021,laakdal 41,Afvangst,NA,TRUE,51.076638,4.966807,51.07744607607217,4.965574662804474,Stilstaand,3FF122FA-A234-4A59-B023-BF7A15813990,Natuurwerk,01-06-2021_laakdal 41,12,Fuik 2,NA,20,150,11,NA,NA,NA,14,NA,45°,enkele fuik,195,0,0,81,1,195,0,0,81,NA,NA,NA
2022-06-01T10:57:23Z,Kris Meeus,2022-06-01,2022,scheps 35,Afvangst,NA,TRUE,51.123323,5.118587,51.120007139395284,5.118451725518806,Stilstaand,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,Natuurwerk,01-06-2022_scheps 35,16,Fuik 1,NA,NA,3,NA,NA,NA,NA,NA,NA,45,enkele fuik,3,0,0,3,1,3,0,0,3,NA,NA,NA
2022-06-01T11:02:15Z,Kris Meeus,2022-06-01,2022,scheps 35,Afvangst,NA,TRUE,51.123323,5.118587,51.120007139395284,5.118451725518806,Stilstaand,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,Natuurwerk,01-06-2022_scheps 35,16,Fuik 2,NA,NA,NA,NA,1,NA,1,NA,1,45,enkele fuik,0,2,1,3,1,0,2,1,3,NA,NA,NA
2021-07-02T09:24:36Z,NA,2021-07-01,2021,laakdal 40,Afvangst,20m,TRUE,51.077892,4.968266,51.07744607607217,4.965574662804474,Stilstaand,34C31F9E-FA3D-45E3-8863-C13CD55F42EA,Natuurwerk,01-07-2021_laakdal 40,3,Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,00°,dubbele fuik,0,0,0,0,1,0,0,0,0,NA,NA,NA
2021-07-02T09:24:36Z,NA,2021-07-01,2021,laakdal 40,Afvangst,20m,TRUE,51.077892,4.968266,51.07744607607217,4.965574662804474,Stilstaand,34C31F9E-FA3D-45E3-8863-C13CD55F42EA,Natuurwerk,01-07-2021_laakdal 40,3,Fuik 2,NA,NA,1,NA,NA,NA,NA,NA,NA,00°,dubbele fuik,1,0,0,0,1,1,0,0,0,NA,NA,NA
2021-07-03T10:59:03Z,Michaël Merckx,2021-07-01,2021,nijlen l9,Afvangst,20m,FALSE,51.133487,4.585863,51.132458670426814,4.587032833716174,Stilstaand,f5fae4b8-8b29-46d6-9d83-8dcf2a965cb8,Natuurpunt,01-07-2021_nijlen l9,8,Fuik 1,Niets,NA,NA,NA,NA,NA,NA,NA,NA,00°,dubbele fuik,0,0,0,0,1,0,0,0,0,NA,NA,NA
2021-07-03T10:59:03Z,Michaël Merckx,2021-07-01,2021,nijlen l9,Afvangst,20m,FALSE,51.133487,4.585863,51.132458670426814,4.587032833716174,Stilstaand,f5fae4b8-8b29-46d6-9d83-8dcf2a965cb8,Natuurpunt,01-07-2021_nijlen l9,8,Fuik 2,Zoetwatergarnaal,NA,NA,NA,NA,NA,NA,NA,NA,45°,dubbele fuik,0,0,0,0,1,0,0,0,0,NA,NA,NA
