Organisation,aantal_vangsten,totaal_vangst,aantal_locaties,aantal_acties,max_vangst,mean_vangst
De winning,15,2,3,15,1,0.13333333333333333
INBO,25,9848,9,25,2366,393.92
Natuurpunt,438,47026,66,438,3857,107.36529680365297
Natuurpunt & Natuurwerk,1,5,1,1,5,5
Natuurwerk,1212,327640,144,1212,12946,270.33003300330034
PXL,51,21631,9,51,3198,424.1372549019608
