gbifID,year,individualCount,lifeStage,eventID,locationID,NISCODE,NAAM,provincie,verbatimLocality,locality,n_fuiken
4598206303,2024,9,larvae,b193ca12-c85d-4450-920b-5b9723d269c3,E889F226-84B5-499E-A73B-A5DF719C540C,NA,NA,NA,,bel 1,0.5
4598206301,2024,157,larvae,b193ca12-c85d-4450-920b-5b9723d269c3,E889F226-84B5-499E-A73B-A5DF719C540C,NA,NA,NA,,bel 1,0.5
4454463777,2023,8,larvae,fd81e6ac-a8fb-4e1b-ade7-3500b83af773,62abe301-066c-4fa9-a54d-14e8b8882923,13053,Laakdal,Antwerpen,,laakdal 5,11
4454463772,2023,7,juvenile,d5b612ae-538f-4953-8577-11b287b1929e,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,10
4454463770,2023,1,larvae,7cbfd3c0-7ec3-449f-bcca-520cb8addfbf,2A0EB8B2-70D9-41D8-867E-7724BBBBB22F,13049,Westerlo,Antwerpen,,westerlo pidpa 3,3
4454463763,2023,1,juvenile,8ae47fcd-4623-42a4-9313-be9c7f40d86a,CCB25757-251A-496E-BE76-0FCEBCCE248E,13003,Balen,Antwerpen,,molse nete 25,3
4454463762,2023,1,adult,db7a49b6-e09f-423b-a4fd-d885b480467d,E9E4CE1C-43A6-4817-96EB-873765AA5598,13053,Laakdal,Antwerpen,,laakdal 39,7.5
4454463760,2023,4,larvae,bc44bb47-17f3-4e2e-bd08-1da76cea7780,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,7
4454463759,2023,16,larvae,6f04ab35-4f30-4cc6-a29c-eb04a1551afa,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,13021,Meerhout,Antwerpen,,scheps 35,3.5
4454463750,2023,73,larvae,742e9582-9314-426b-9c9e-2957fc707f85,A02C865C-B51E-4403-8C7F-CA23CD132BFE,13049,Westerlo,Antwerpen,,westerlo pidpa 2,6.5
4454463746,2023,1,juvenile,e208b3f6-5d5d-4549-8c25-164d986a0be4,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,7
4454463745,2023,1,adult,6f04ab35-4f30-4cc6-a29c-eb04a1551afa,C40A62BC-753E-4B8E-A09E-101C73DE9BD0,13021,Meerhout,Antwerpen,,scheps 35,3.5
4454463742,2023,1,juvenile,24de58ce-0fb7-416c-b6cb-d6ddbcc30066,025AB23B-DF57-46C0-84C4-D351208209B3,13003,Balen,Antwerpen,,molse nete 23,2
4454463741,2023,1,adult,68a511e8-06f3-40ad-980d-8145d9d36ccb,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,7
4454463740,2023,1,juvenile,4dadcf80-d5c3-4400-8f1c-546ef7312dfd,13C21386-73BD-4394-BF8C-D621BB1AE140,13003,Balen,Antwerpen,,molse nete 27,5
4454463739,2023,0,juvenile,2f231229-fb5a-48f6-b399-5f404f505042,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,4
4454463738,2023,2,adult,fff667a5-6509-4796-beba-855924e2131a,323F5909-B7D0-4A77-AC74-D9EF1DFB812A,13003,Balen,Antwerpen,,scheps 42,3.5
4454463737,2023,3,larvae,bc44bb47-17f3-4e2e-bd08-1da76cea7780,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,7
4454463736,2023,7,larvae,da7a4b9b-b6b8-47c1-aedb-5bfadc9fc48d,CCB25757-251A-496E-BE76-0FCEBCCE248E,13003,Balen,Antwerpen,,molse nete 25,3
4454463735,2023,5,larvae,b6048d0b-4afd-4f7b-b99c-fef3a790e28d,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,10
4454463731,2023,2,larvae,5ebbe165-840c-4697-9107-89e478e15877,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,4
4454463729,2023,1,juvenile,9a2040a9-5867-497e-8359-94abade7e30b,E9E4CE1C-43A6-4817-96EB-873765AA5598,13053,Laakdal,Antwerpen,,laakdal 39,2
4454463726,2023,8,larvae,1d19f062-3458-45a7-9ca8-d08130c0c728,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,10
4454463720,2023,4,larvae,c4a0e52c-1e1d-412b-ad06-a44482abf68f,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,10
4454463717,2023,20,larvae,337d7917-9ee3-4708-ad5f-13f94858a0e7,7C31CF7F-E64E-4AD4-9C7F-56AE53BC8DDA,13049,Westerlo,Antwerpen,,westerlo pidpa 1,3
4454463716,2023,1,larvae,01e88753-bc0c-4fa9-903d-86db2df098a7,fbb3baeb-c846-444c-926e-02445e328b78,13001,Arendonk,Antwerpen,,arendonk 2,10
4454463714,2023,1,juvenile,0362fc11-8984-4b02-8a22-6fbfe6fd0c6e,03dc3f07-506f-4c71-bbcd-ad24c177cab5,13003,Balen,Antwerpen,,griesbroek 6,4
4454463713,2023,1,adult,bc44bb47-17f3-4e2e-bd08-1da76cea7780,03167d3d-4f00-42b8-b8be-fbe739205a3c,13003,Balen,Antwerpen,,scheps 20,7
4454463712,2023,5,larvae,44569c10-a039-4ffd-8c6b-8baf25f3d7c1,fbb3baeb-c846-444c-926e-02445e328b78,13001,Arendonk,Antwerpen,,arendonk 2,10
4454463711,2023,2,larvae,c96a406e-7422-439e-a1f9-353944062d3e,fbb3baeb-c846-444c-926e-02445e328b78,13001,Arendonk,Antwerpen,,arendonk 2,20
4454463709,2023,3,larvae,742e9582-9314-426b-9c9e-2957fc707f85,A02C865C-B51E-4403-8C7F-CA23CD132BFE,13049,Westerlo,Antwerpen,,westerlo pidpa 2,6.5
4454463708,2023,0,adult,f1e068a8-3cc2-4b75-9e7b-44089962cccb,B67850BE-C1FF-4995-9CF3-73B5E4F09B31,13053,Laakdal,Antwerpen,,roost 38,5
4454463703,2023,1,larvae,c8329884-84cb-495d-b35b-503ec641ddfd,3FF122FA-A234-4A59-B023-BF7A15813990,13053,Laakdal,Antwerpen,,laakdal 41,10
