Tijdstempel,Invuller 2,Datum,Jaar,Locatie,actie,fuiklengte,Net verhoogd?,lat_vijver,long_vijver,lat_grid,long_grid,Type,locationID,Organisation,eventID,no_fuiken,fuikNr,Opmerkingen,L1,L0,L2,M2,AV,AM,L00,M1,Hoek,fuiktype,larven_fuik,juveniel_fuik,adult_fuik,totaal_fuik,correctie_factor,larven_corrected,juveniel_corrected,adult_corrected,totaal_fuik_corrected,MX,AX,LX,totaal_corrected
2021-10-06T14:50:45Z,Kris Meeus,2021-10-06,2021,3,Afvangst,NA,FALSE,51.218487,5.163869,51.22101950378,5.1651321582013585,Stilstaand,18D61BF3-0E10-4BEA-94B8-031CCDAAE8BA,Natuurwerk,06-10-2021_3,3,Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,45°,enkele fuik,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
2021-10-06T14:50:45Z,Kris Meeus,2021-10-06,2021,3,Afvangst,NA,FALSE,51.218487,5.163869,51.22101950378,5.1651321582013585,Stilstaand,18D61BF3-0E10-4BEA-94B8-031CCDAAE8BA,Natuurwerk,06-10-2021_3,3,Fuik 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,45°,enkele fuik,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
2021-10-06T14:50:45Z,Kris Meeus,2021-10-06,2021,3,Afvangst,NA,FALSE,51.218487,5.163869,51.22101950378,5.1651321582013585,Stilstaand,18D61BF3-0E10-4BEA-94B8-031CCDAAE8BA,Natuurwerk,06-10-2021_3,3,Fuik 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,45°,enkele fuik,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
2021-10-07T13:54:33Z,Kris Meeus,2021-10-07,2021,3,Afvangst,NA,FALSE,51.218487,5.163869,51.22101950378,5.1651321582013585,Stilstaand,18D61BF3-0E10-4BEA-94B8-031CCDAAE8BA,Natuurwerk,07-10-2021_3,3,Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,45°,enkele fuik,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
2021-10-07T13:54:33Z,Kris Meeus,2021-10-07,2021,3,Afvangst,NA,FALSE,51.218487,5.163869,51.22101950378,5.1651321582013585,Stilstaand,18D61BF3-0E10-4BEA-94B8-031CCDAAE8BA,Natuurwerk,07-10-2021_3,3,Fuik 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,45°,enkele fuik,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
2021-10-07T13:54:33Z,Kris Meeus,2021-10-07,2021,3,Afvangst,NA,FALSE,51.218487,5.163869,51.22101950378,5.1651321582013585,Stilstaand,18D61BF3-0E10-4BEA-94B8-031CCDAAE8BA,Natuurwerk,07-10-2021_3,3,Fuik 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,45°,enkele fuik,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
2021-10-08T12:33:04Z,Kris Meeus,2021-10-08,2021,3,Afvangst,NA,FALSE,51.218487,5.163869,51.22101950378,5.1651321582013585,Stilstaand,18D61BF3-0E10-4BEA-94B8-031CCDAAE8BA,Natuurwerk,08-10-2021_3,2,Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,45°,enkele fuik,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
2021-10-08T12:33:04Z,Kris Meeus,2021-10-08,2021,3,Afvangst,NA,FALSE,51.218487,5.163869,51.22101950378,5.1651321582013585,Stilstaand,18D61BF3-0E10-4BEA-94B8-031CCDAAE8BA,Natuurwerk,08-10-2021_3,2,Fuik 2,"Fuik gestolen, wel kikker gespot op plaats fuik",NA,NA,NA,NA,NA,NA,NA,NA,45°,enkele fuik,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
NA,NA,2014-09-11,2014,NA,Afvangst,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-09-2014_13357,1,Fuik 1,NA,NA,5,NA,NA,NA,NA,NA,NA,90°,dubbele fuik,5,0,0,5,1,5,0,0,NA,NA,NA,NA,5
NA,NA,2014-09-11,2014,NA,Afvangst,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-09-2014_13372,1,Fuik 1,NA,NA,NA,NA,3,1,NA,NA,NA,90°,dubbele fuik,0,3,1,4,1,0,3,1,NA,NA,NA,NA,4
NA,NA,2014-09-11,2014,NA,Afvangst,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-09-2014_13359,1,Fuik 1,NA,111,108,63,NA,NA,NA,NA,NA,90°,dubbele fuik,282,0,0,282,1,282,0,0,NA,NA,NA,NA,282
NA,NA,2014-09-11,2014,NA,Afvangst,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-09-2014_13358,1,Fuik 1,NA,1,NA,NA,NA,1,NA,15,NA,90°,dubbele fuik,16,0,1,17,1,16,0,1,NA,NA,NA,NA,17
