Datum,Locatie,locationID,eventID,larven_vangst,larven_vangst_corrected,totaal_vangst,totaal_vangst_corrected,no_fuiken,cpue_larven,cpue_larven_corrected,cpue_totaal,cpue_totaal_corrected,Organisation
2016-04-27,arendonk 2,fbb3baeb-c846-444c-926e-02445e328b78,27-04-2016_arendonk 2,297,297,297,297,-Inf,-0,-0,-0,-0,Natuurwerk
2016-05-11,arendonk 1,91a8e2bb-b682-4c53-b213-7494198b12ce,11-05-2016_arendonk 1,7,7,7,7,-Inf,-0,-0,-0,-0,Natuurwerk
2016-05-11,arendonk 2,fbb3baeb-c846-444c-926e-02445e328b78,11-05-2016_arendonk 2,527,527,527,527,-Inf,-0,-0,-0,-0,Natuurwerk
2016-05-11,kasterlee 13,db13750e-281b-4b47-80e5-e4036050d1c1,11-05-2016_kasterlee 13,0,0,0,0,-Inf,-0,-0,-0,-0,Natuurwerk
2016-05-11,kasterlee 7,d47894eb-3a0b-4dc1-8804-627d397aa280,11-05-2016_kasterlee 7,0,0,0,0,-Inf,-0,-0,-0,-0,Natuurwerk
2016-05-12,arendonk 1,91a8e2bb-b682-4c53-b213-7494198b12ce,12-05-2016_arendonk 1,32,32,32,32,-Inf,-0,-0,-0,-0,Natuurwerk
2016-05-12,arendonk 2,fbb3baeb-c846-444c-926e-02445e328b78,12-05-2016_arendonk 2,303,303,303,303,-Inf,-0,-0,-0,-0,Natuurwerk
2016-05-12,kasterlee 12,a1afa4c1-fb1a-4717-909f-9fed2eefb9fa,12-05-2016_kasterlee 12,0,0,0,0,-Inf,-0,-0,-0,-0,Natuurwerk
2016-05-12,kasterlee 14,31afab53-0d30-4026-af4d-e94dcecd79c4,12-05-2016_kasterlee 14,0,0,0,0,-Inf,-0,-0,-0,-0,Natuurwerk
2016-05-13,arendonk 2,fbb3baeb-c846-444c-926e-02445e328b78,13-05-2016_arendonk 2,643,643,643,643,-Inf,-0,-0,-0,-0,Natuurwerk
2016-05-13,kasterlee 14,31afab53-0d30-4026-af4d-e94dcecd79c4,13-05-2016_kasterlee 14,0,0,0,0,2,0,0,0,0,Natuurwerk
2016-05-18,driehoek,48fb261c-3f3a-4a95-9103-1e6822dae999,18-05-2016_driehoek,0,0,0,0,-Inf,-0,-0,-0,-0,Natuurwerk
2016-06-08,arendonk 1,91a8e2bb-b682-4c53-b213-7494198b12ce,08-06-2016_arendonk 1,139,139,139,139,3,46.333333333333336,46.333333333333336,46.333333333333336,46.333333333333336,Natuurwerk
2016-06-08,kasterlee 9,7448a0e8-761d-4b7c-b9dc-cb8944caa7f4,08-06-2016_kasterlee 9,0,0,0,0,2,0,0,0,0,Natuurwerk
2016-06-09,arendonk 1,91a8e2bb-b682-4c53-b213-7494198b12ce,09-06-2016_arendonk 1,123,123,123,123,-Inf,-0,-0,-0,-0,Natuurwerk
2016-06-09,arendonk 2,fbb3baeb-c846-444c-926e-02445e328b78,09-06-2016_arendonk 2,279,279,279,279,-Inf,-0,-0,-0,-0,Natuurwerk
2016-06-10,arendonk 1,91a8e2bb-b682-4c53-b213-7494198b12ce,10-06-2016_arendonk 1,50,50,52,52,-Inf,-0,-0,-0,-0,Natuurwerk
2016-06-10,arendonk 2,fbb3baeb-c846-444c-926e-02445e328b78,10-06-2016_arendonk 2,408,408,408,408,-Inf,-0,-0,-0,-0,Natuurwerk
2016-06-10,kasterlee 7,d47894eb-3a0b-4dc1-8804-627d397aa280,10-06-2016_kasterlee 7,0,0,0,0,3,0,0,0,0,Natuurwerk
2016-07-13,arendonk 4,a7a15699-ae79-44ec-9f82-08ee0158e31d,13-07-2016_arendonk 4,0,0,0,0,2,0,0,0,0,Natuurwerk
2016-07-13,kasterlee 14,31afab53-0d30-4026-af4d-e94dcecd79c4,13-07-2016_kasterlee 14,0,0,0,0,1,0,0,0,0,Natuurwerk
2016-07-13,kasterlee 9,7448a0e8-761d-4b7c-b9dc-cb8944caa7f4,13-07-2016_kasterlee 9,0,0,0,0,1,0,0,0,0,Natuurwerk
