Tijdstempel,Invuller 2,Datum,Jaar,actie,fuiklengte,Net verhoogd?,lat_vijver,long_vijver,lat_grid,long_grid,Type,locationID,Organisation,eventID,no_fuiken,fuikNr,Opmerkingen,L1,L0,L2,M2,AV,AM,L00,M1,Hoek,fuiktype,larven_fuik,juveniel_fuik,adult_fuik,totaal_fuik,correctie_factor,AX,LX,MX,larven_corrected,totaal_corrected,juveniel_corrected,adult_corrected
NA,NA,2018-07-18,2018,Afvangst,NA,NA,51.228243,4.980922,51.23107384648721,4.9774688351861265,Stilstaand,4155d322-4f87-46a9-88f6-4e123bd5342b,NA,2018-07-18_watermolen,1,Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2018-07-18,2018,Afvangst,NA,NA,51.247718,5.008589,51.25023379392037,5.004096622013363,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,NA,2018-07-18_retiebaan 2,2,Fuik 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2018-09-18,2018,Afvangst,NA,NA,51.247718,5.008589,51.25023379392037,5.004096622013363,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,NA,2018-09-18_retiebaan 2,1,Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-08-02,2017,Afvangst,NA,NA,51.228243,4.980922,51.23107384648721,4.9774688351861265,Stilstaand,4155d322-4f87-46a9-88f6-4e123bd5342b,NA,2017-08-02_watermolen,4,Fuik 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-08-02,2017,Afvangst,NA,NA,51.228243,4.980922,51.23107384648721,4.9774688351861265,Stilstaand,4155d322-4f87-46a9-88f6-4e123bd5342b,NA,2017-08-02_watermolen,4,Fuik 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2018-07-18,2018,Afvangst,NA,NA,51.247718,5.008589,51.25023379392037,5.004096622013363,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,NA,2018-07-18_retiebaan 2,2,Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2018-09-18,2018,Afvangst,NA,NA,51.246951,5.009471,51.25023379392037,5.004096622013363,Stilstaand,007f5913-1bdf-4e46-b2e3-587a0437fdbc,NA,2018-09-18_retiebaan 1,1,Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-09-28,2017,Afvangst,NA,NA,51.147939,5.166174,51.14929109449893,5.172660754244262,Stilstaand,f4f7fd3b-ee23-4b32-a12e-9462eab68ae7,NA,2017-09-28_scheps 15,2,Fuik 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2018-08-14,2018,Afvangst,NA,NA,51.246951,5.009471,51.25023379392037,5.004096622013363,Stilstaand,007f5913-1bdf-4e46-b2e3-587a0437fdbc,NA,2018-08-14_retiebaan 1,1,Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-07-20,2017,Afvangst,NA,NA,51.246951,5.009471,51.25023379392037,5.004096622013363,Stilstaand,007f5913-1bdf-4e46-b2e3-587a0437fdbc,NA,2017-07-20_retiebaan 1,3,Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2018-06-22,2018,Afvangst,NA,NA,51.133649961966704,4.59839988780076,51.13312287763877,4.601286250000115,Stilstaand,01c64427-44d5-497c-bbdc-dbff8b1c8dc7,NA,2018-06-22_nijlen d3,3,Fuik 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-07-20,2017,Afvangst,NA,NA,51.246951,5.009471,51.25023379392037,5.004096622013363,Stilstaand,007f5913-1bdf-4e46-b2e3-587a0437fdbc,NA,2017-07-20_retiebaan 1,3,Fuik 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-08-02,2017,Afvangst,NA,NA,51.228243,4.980922,51.23107384648721,4.9774688351861265,Stilstaand,4155d322-4f87-46a9-88f6-4e123bd5342b,NA,2017-08-02_watermolen,4,Fuik 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dubbele fuik,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
