occurrenceID,Tijdstempel,Datum,Jaar,Locatie,actie,fuiklengte,Net verhoogd?,lat,long,Type,locationID,eventID,fuikNr,Opmerkingen,Hoek,fuiktype,lifestage,individualCount,scientificname,taxonkey,recordedBy,identifiedBy
4dd3272f-1065-4772-8756-00d019243001,2019-06-25T15:14:10Z,2019-05-22,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,22-5-2019_nijlen b10,Fuik 1,NA,NA,NA NA,L1,14,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
5df0846d-f400-465e-ac2a-c69910d9f9e3,2019-06-25T15:14:10Z,2019-05-22,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,22-5-2019_nijlen b10,Fuik 2,NA,NA,NA NA,L00,2,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
66f78c34-8107-438c-9e9e-1dcfc9fd93cc,2019-06-25T15:14:10Z,2019-05-22,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,22-5-2019_nijlen b10,Fuik 2,NA,NA,NA NA,L0,11,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
0cc70aa8-8abb-4cca-81a4-1ec5a6ac886c,2019-06-25T15:14:10Z,2019-05-22,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,22-5-2019_nijlen b10,Fuik 2,NA,NA,NA NA,L1,2,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
2a1cce8c-4108-4786-b9fa-0048c4205c03,2019-06-25T15:14:10Z,2019-05-22,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,22-5-2019_nijlen b10,Fuik 2,NA,NA,NA NA,L2,3,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
2de2433f-5fc3-4134-a27d-384022e29866,2019-06-25T15:14:10Z,2019-05-22,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,22-5-2019_nijlen b10,Fuik 2,NA,NA,NA NA,AV,1,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
66681955-9fd3-447f-9839-71d58ab6f3d8,2019-06-25T15:14:10Z,2019-05-22,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,22-5-2019_nijlen b10,Fuik 3,NA,NA,NA NA,L00,5,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
fb9860ec-85e0-4ac1-b28e-00acdaf90317,2019-06-25T15:14:10Z,2019-05-22,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,22-5-2019_nijlen b10,Fuik 3,NA,NA,NA NA,L0,20,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
bb423b12-e1c1-4eee-afc2-2add6e4d22fb,2019-06-25T15:14:10Z,2019-05-22,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,22-5-2019_nijlen b10,Fuik 3,NA,NA,NA NA,L1,8,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
b892b9f5-ff4c-4be4-96a9-efe31d7bf5a1,2019-06-25T15:14:10Z,2019-05-22,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,22-5-2019_nijlen b10,Fuik 3,NA,NA,NA NA,L2,8,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
369a6ddf-294e-468e-8b8e-c9f2e685b9dd,2019-06-25T15:14:10Z,2019-05-22,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,22-5-2019_nijlen b10,Fuik 3,NA,NA,NA NA,AV,2,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
7962a941-70f7-43bc-88c3-d544c1709d2f,2019-06-28T07:21:47Z,2019-05-22,2019,nijlen b9,Afvangst,NA,TRUE,51.137296,4.60642,Stilstaand,abd1f412-8e63-4eae-bf83-afa3f0d03b33,22-5-2019_nijlen b9,Fuik 1,NA,NA,NA NA,L0,2,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
de1ebb7e-be36-4f16-8bed-2d141caab177,2019-06-28T08:03:21Z,2019-05-24,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,24-5-2019_nijlen b10,Fuik 1,NA,NA,NA NA,L00,20,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
1229456f-03b1-49d3-b9cd-6c329b9e74dd,2019-06-28T08:03:21Z,2019-05-24,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,24-5-2019_nijlen b10,Fuik 1,NA,NA,NA NA,L0,1,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
39677ea2-8348-48bd-b3f8-9dfbec268604,2019-06-28T08:03:21Z,2019-05-24,2019,nijlen b10,Afvangst,NA,TRUE,51.13750588758811,4.6059334310323345,Stilstaand,554e3c11-e529-4b0b-a162-714c72d3547e,24-5-2019_nijlen b10,Fuik 1,NA,NA,NA NA,L2,7,Lithobates catesbeianus,2427091,Natuurpunt,Natuurpunt
