occurrenceID,Tijdstempel,Invuller 2,Datum,Jaar,Locatie,actie,fuiklengte,Net verhoogd?,lat,long,Type,locationID,eventID,fuikNr,Hoek,Opmerkingen,scientificname,fuiktype,lifestage,individualCount,recordedBy,identifiedBy,taxonkey
13065083-c42b-483d-8543-339f02a056bc,2019-05-15T16:55:07Z,NA,2020-08-13,2020,retiebaan 2,Afvangst,NA,NA,51.247718,5.008589,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,13-8-2020_retiebaan 2,Fuik 1,NA,NA,Gobio gobio,NA NA,NA,NA,Natuurpunt,Natuurpunt,4409628
cb077066-fadd-4a02-8a31-ca42b1db1a22,2019-05-15T16:55:07Z,NA,2020-08-13,2020,retiebaan 2,Afvangst,NA,NA,51.247718,5.008589,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,13-8-2020_retiebaan 2,Fuik 2,NA,NA,Anguilla anguilla,NA NA,NA,NA,Natuurpunt,Natuurpunt,5212973
145f7d84-1fe4-493e-a4ba-24f15a61be67,2019-05-15T16:55:07Z,NA,2020-08-13,2020,retiebaan 2,Afvangst,NA,NA,51.247718,5.008589,Stilstaand,4e76c083-9d1e-4900-8395-911d04e4e5ea,13-8-2020_retiebaan 2,Fuik 2,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2362635
49639d33-e091-4a1f-9a07-e93c051bf179,2019-06-05T23:03:32Z,Sander Devisscher,2019-05-07,2019,kasterlee 3,Afvangst,NA,TRUE,51.268579,5.014848,Stilstaand,fa5d281f-6266-4d4b-b6a7-cd44132e9b99,7-5-2019_kasterlee 3,Fuik 1,NA,NA,Scardinius erythrophthalmus,NA NA,NA,NA,INBO,INBO,2362635
07eb6083-80f6-4317-affa-5ac88e2f40fa,2019-06-05T23:03:32Z,Sander Devisscher,2019-05-07,2019,kasterlee 3,Afvangst,NA,TRUE,51.268579,5.014848,Stilstaand,fa5d281f-6266-4d4b-b6a7-cd44132e9b99,7-5-2019_kasterlee 3,Fuik 1,NA,NA,Gobio gobio,NA NA,NA,NA,INBO,INBO,4409628
4770c50a-2fc5-4511-b3d9-a5e119ff4a33,2019-06-05T23:03:32Z,Sander Devisscher,2019-05-07,2019,kasterlee 3,Afvangst,NA,TRUE,51.268579,5.014848,Stilstaand,fa5d281f-6266-4d4b-b6a7-cd44132e9b99,7-5-2019_kasterlee 3,Fuik 1,NA,NA,Carassius gibelio,NA NA,NA,NA,INBO,INBO,2366634
db1a832b-469c-4b8b-bdb5-d179323b83fa,2019-06-05T23:07:34Z,Sander Devisscher,2019-05-08,2019,nijlen b6,Afvangst,NA,FALSE,51.13807099778634,4.607936268655782,Stilstaand,7bfeea33-87a3-4896-b2e4-a2f6b8d951a9,8-5-2019_nijlen b6,Fuik 1,NA,NA,Lepomis gibbosus,NA NA,NA,NA,INBO,INBO,2394486
e96cf59a-109f-4467-a245-cb834a54e120,2019-06-05T23:13:37Z,Dries Jonckers,2019-05-07,2019,arendonk 2,Afvangst,NA,TRUE,51.326407,5.10731,Stilstaand,fbb3baeb-c846-444c-926e-02445e328b78,7-5-2019_arendonk 2,Fuik 1,NA,Spinnende watertor,Perca fluviatilis,NA NA,NA,NA,Natuurpunt,Natuurpunt,8140485
a8b38db7-bc19-4425-a231-d87b0735ba83,2019-06-05T23:13:37Z,Dries Jonckers,2019-05-07,2019,arendonk 2,Afvangst,NA,TRUE,51.326407,5.10731,Stilstaand,fbb3baeb-c846-444c-926e-02445e328b78,7-5-2019_arendonk 2,Fuik 1,NA,Spinnende watertor,Lepomis gibbosus,NA NA,NA,NA,Natuurpunt,Natuurpunt,2394486
5fc9ff7e-78c6-4530-9ce9-f110219c420b,2019-06-05T23:22:36Z,Dries Jonckers,2019-05-07,2019,arendonk 3,Afvangst,NA,TRUE,51.327182,5.105339,Stilstaand,60e6e43e-6855-4917-a336-9ac46d087fad,7-5-2019_arendonk 3,Fuik 1,NA,NA,Esox lucius,NA NA,NA,NA,Natuurpunt,Natuurpunt,2346633
7bf27fb0-6e26-4202-ae71-a7795a02cbdb,2019-06-06T12:16:14Z,Dries Jonckers,2019-05-07,2019,arendonk 4,Afvangst,NA,TRUE,51.325394,5.110287,Stilstaand,a7a15699-ae79-44ec-9f82-08ee0158e31d,7-5-2019_arendonk 4,Fuik 1,NA,Spinnende watertor,Carassius gibelio,NA NA,NA,NA,Natuurpunt,Natuurpunt,2366634
2e144619-26e8-4308-af6f-7419792fd3d4,2019-06-06T12:16:14Z,Dries Jonckers,2019-05-07,2019,arendonk 4,Afvangst,NA,TRUE,51.325394,5.110287,Stilstaand,a7a15699-ae79-44ec-9f82-08ee0158e31d,7-5-2019_arendonk 4,Fuik 1,NA,Spinnende watertor,Pungitius pungitius,NA NA,NA,NA,Natuurpunt,Natuurpunt,5739510
